Generation,Fitness score
0,-2168.18
1,-1719.72
2,-1302.46
3,-1144.3
4,-1133.65
5,-978.28
6,-972.0
7,-972.0
8,-972.0
9,-972.0
10,-972.0
11,-972.0
12,-924.39
13,-775.5
14,-408.63
15,-339.0
16,-338.9
17,-338.65
18,-338.0
19,-334.5
20,-334.0
21,-334.0
22,-334.0
23,-334.0
24,-334.0
25,-334.0
26,-307.48
27,-201.4
28,329.0
29,329.0
30,316.8
31,280.2
32,112.45
33,36.2
34,24.0
35,24.0
36,24.0
37,24.0
38,24.0
39,24.0
40,24.0
41,24.0
42,24.0
43,24.0
44,24.0
45,24.0
46,24.0
47,24.0
48,24.0
49,46.2
50,24.0
51,24.0
52,24.0
53,48.75
54,49.65
55,18.91
56,60.8
57,-4.26
58,0.45
59,9.87
60,-3.05
61,-3.05
62,24.0
63,24.0
64,24.0
65,8.88
66,24.0
67,24.0
68,24.0
69,24.0
70,24.0
71,40.32
72,24.0
73,24.0
74,24.0
75,24.0
76,24.0
77,24.0
78,24.0
79,24.0
80,24.0
81,24.0
82,66.9
83,52.6
84,24.0
85,-2.37
86,24.0
87,24.0
88,24.0
89,24.03
90,24.04
91,24.0
92,24.0
93,24.0
94,34.35
95,21.84
96,-14.76
97,24.0
98,24.0
99,24.0
100,24.0
