Generation,Fitness score
0,-2277.11
1,-1857.62
2,-1621.33
3,-1359.28
4,-1143.44
5,-991.12
6,-772.29
7,-683.26
8,-581.77
9,-383.39
10,-124.24
11,-65.15
12,-71.34
13,-88.23
14,-41.06
15,2.61
16,12.66
17,108.34
18,45.55
19,-9.43
20,-4.83
21,1.82
22,11.88
23,5.98
24,-13.67
25,12.88
26,5.06
27,-4.24
28,-23.61
29,-0.96
30,-32.76
31,-6.06
32,-1.54
33,3.0
34,3.0
35,0.81
36,-13.73
37,-18.43
38,-3.2
39,2.14
40,28.55
41,2.37
42,-1.83
43,-3.8
44,4.8
45,-3.36
46,3.0
47,8.23
48,10.97
49,3.0
50,0.22
51,28.52
52,11.38
53,35.78
54,3.0
55,-1.31
56,0.88
57,-0.67
58,14.39
59,-19.42
60,3.0
61,-15.5
62,7.92
63,2.31
64,12.26
65,28.17
66,33.14
67,-9.18
68,1.02
69,19.27
70,14.8
71,1.0
72,-2.56
73,0.28
74,5.05
75,1.0
76,-8.54
77,7.58
78,1.0
79,-4.44
80,18.74
81,1.0
82,-2.51
83,-12.53
84,-8.59
85,7.15
86,7.04
87,1.0
88,20.38
89,-2.87
90,2.46
91,-4.37
92,1.0
93,6.04
94,-10.8
95,-6.52
96,0.28
97,2.11
98,-9.8
99,1.0
100,7.26
